open_time_raw,open_time_utc,open_time_eastern,open,high,low,close,volume,close_time_raw,close_time_utc,close_time_eastern,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1773160200000000,2026-03-10T16:30:00+00:00,2026-03-10T12:30:00-04:00,71364.70000000,71388.90000000,71335.00000000,71354.50000000,12.65875000,1773160259999999,2026-03-10T16:30:59.999999+00:00,2026-03-10T12:30:59.999999-04:00,903317.84520370,5234,9.23319000,658859.74374230,0
1773160260000000,2026-03-10T16:31:00+00:00,2026-03-10T12:31:00-04:00,71354.50000000,71367.06000000,71305.45000000,71319.61000000,15.74429000,1773160319999999,2026-03-10T16:31:59.999999+00:00,2026-03-10T12:31:59.999999-04:00,1123185.63825380,4875,5.54060000,395318.72099370,0
1773160320000000,2026-03-10T16:32:00+00:00,2026-03-10T12:32:00-04:00,71319.61000000,71350.07000000,71293.30000000,71334.57000000,6.82841000,1773160379999999,2026-03-10T16:32:59.999999+00:00,2026-03-10T12:32:59.999999-04:00,487037.21094850,3873,3.50221000,249810.42927070,0
1773160380000000,2026-03-10T16:33:00+00:00,2026-03-10T12:33:00-04:00,71334.58000000,71339.58000000,71293.30000000,71294.49000000,11.77300000,1773160439999999,2026-03-10T16:33:59.999999+00:00,2026-03-10T12:33:59.999999-04:00,839538.59051260,3265,9.58315000,683362.54931580,0
1773160440000000,2026-03-10T16:34:00+00:00,2026-03-10T12:34:00-04:00,71294.48000000,71374.00000000,71294.48000000,71368.80000000,23.03142000,1773160499999999,2026-03-10T16:34:59.999999+00:00,2026-03-10T12:34:59.999999-04:00,1643445.95443430,4952,19.69114000,1405096.25280390,0
1773160500000000,2026-03-10T16:35:00+00:00,2026-03-10T12:35:00-04:00,71368.81000000,71448.45000000,71368.81000000,71418.10000000,20.05295000,1773160559999999,2026-03-10T16:35:59.999999+00:00,2026-03-10T12:35:59.999999-04:00,1432041.20442740,4727,10.82813000,773240.32602050,0
1773160560000000,2026-03-10T16:36:00+00:00,2026-03-10T12:36:00-04:00,71418.10000000,71442.95000000,71378.00000000,71378.01000000,25.09671000,1773160619999999,2026-03-10T16:36:59.999999+00:00,2026-03-10T12:36:59.999999-04:00,1792282.22032920,3781,7.15405000,510892.47429740,0
1773160620000000,2026-03-10T16:37:00+00:00,2026-03-10T12:37:00-04:00,71378.00000000,71414.20000000,71333.91000000,71366.83000000,25.55712000,1773160679999999,2026-03-10T16:37:59.999999+00:00,2026-03-10T12:37:59.999999-04:00,1824134.91525840,4712,14.39428000,1027308.21258350,0
1773160680000000,2026-03-10T16:38:00+00:00,2026-03-10T12:38:00-04:00,71366.83000000,71410.00000000,71253.22000000,71324.94000000,38.01461000,1773160739999999,2026-03-10T16:38:59.999999+00:00,2026-03-10T12:38:59.999999-04:00,2711990.76668820,6415,14.50047000,1034438.53066370,0
1773160740000000,2026-03-10T16:39:00+00:00,2026-03-10T12:39:00-04:00,71324.95000000,71324.95000000,71269.10000000,71307.81000000,35.74760000,1773160799999999,2026-03-10T16:39:59.999999+00:00,2026-03-10T12:39:59.999999-04:00,2548674.79397440,4151,24.62700000,1755757.45649050,0
